BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
SAMSUNG,BLACK,6_GB,64_GB,4.4,24000,24000,0,0.0
LG,BLUE,2_GB,16_GB,4.1,5899,7833,1934,24.69041235797268
ASUS,BLUE,4_GB,64_GB,4.3,15599,15599,0,0.0
XIAOMI,BLACK,6_GB,128_GB,4.3,24999,29999,5000,16.66722224074136
ASUS,BLUE,2_GB,32_GB,3.8,7499,7499,0,0.0
APPLE,GOLD,2_GB,128_GB,4.5,55999,55999,0,0.0
NOKIA,GREEN,LESS_THAN_1GB,4_GB,3.8,7990,7990,0,0.0
SAMSUNG,BLACK,4_GB,64_GB,4.2,14999,17999,3000,16.667592644035782
ASUS,BLACK,4_GB,64_GB,4.3,14999,14999,0,0.0
LG,WHITE,LESS_THAN_1GB,4_GB,3.7,8800,8800,0,0.0
ASUS,BLUE,3_GB,32_GB,4.3,15999,15999,0,0.0
OPPO,WHITE,6_GB,128_GB,4.4,17990,23990,6000,25.01042100875365
SAMSUNG,WHITE,6_GB,128_GB,3.9,16499,17999,1500,8.333796322017891
OPPO,BLACK,8_GB,256_GB,4.5,29489,29489,0,0.0
APPLE,YELLOW,3_GB,64_GB,4.6,42999,47900,4901,10.231732776617951
APPLE,GOLD,6_GB,256_GB,4.6,119900,119900,0,0.0
SAMSUNG,RED,6_GB,64_GB,4.5,70000,70000,0,0.0
OPPO,BLUE,4_GB,32_GB,4.4,15000,15000,0,0.0
REALME,YELLOW,12_GB,256_GB,4.3,41999,43999,2000,4.545557853587582
VIVO,BLACK,6_GB,64_GB,4.3,15490,19490,4000,20.523345305284764
SAMSUNG,GOLD,8_GB,128_GB,4.4,28490,33450,4960,14.828101644245145
APPLE,GOLD,4_GB,256_GB,4.7,139900,139900,0,0.0
SAMSUNG,BLACK,6_GB,128_GB,4.4,16980,18200,1220,6.703296703296704
SAMSUNG,WHITE,3_GB,32_GB,4.0,44900,44900,0,0.0
REALME,OTHERS,8_GB,128_GB,4.5,20999,20999,0,0.0
APPLE,GOLD,2_GB,128_GB,4.4,70000,70000,0,0.0
OPPO,SILVER,8_GB,128_GB,4.3,22990,22990,0,0.0
VIVO,OTHERS,8_GB,128_GB,4.3,32990,32990,0,0.0
MOTOROLA,RED,2_GB,32_GB,4.1,6999,9999,3000,30.003000300030003
GIONEE,BLACK,3_GB,16_GB,4.0,6475,6475,0,0.0
OPPO,BLACK,4_GB,64_GB,4.5,11990,15990,4000,25.01563477173233
REALME,BLUE,6_GB,128_GB,4.4,15999,17999,2000,11.111728429357187
REALME,WHITE,12_GB,256_GB,4.6,35999,35999,0,0.0
GOOGLE_PIXEL,BLACK,4_GB,128_GB,4.6,82000,82000,0,0.0
SAMSUNG,BLACK,1.5_GB,16_GB,4.3,13499,13499,0,0.0
LG,GREY,3_GB,32_GB,3.9,6999,9999,3000,30.003000300030003
SAMSUNG,WHITE,4_GB,64_GB,4.2,15999,15999,0,0.0
SAMSUNG,WHITE,8_GB,256_GB,4.3,37999,43999,6000,13.636673560762745
SAMSUNG,GOLD,3_GB,32_GB,4.3,12900,12900,0,0.0
OPPO,BLACK,4_GB,64_GB,4.3,14990,14990,0,0.0
SAMSUNG,BLACK,6_GB,128_GB,4.2,17499,18999,1500,7.8951523764408655
POCO,GREEN,6_GB,128_GB,4.3,15999,19999,4000,20.001000050002503
OPPO,BLUE,4_GB,64_GB,4.4,10490,11990,1500,12.51042535446205
OPPO,BLACK,4_GB,64_GB,4.4,10990,10990,0,0.0
INFINIX,GREY,4_GB,64_GB,4.5,9999,9999,0,0.0
LG,WHITE,4_GB,64_GB,4.2,24998,49999,25001,50.0030000600012
APPLE,WHITE,4_GB,256_GB,4.6,64900,64900,0,0.0
SAMSUNG,SILVER,1_GB,8_GB,3.3,4999,8999,4000,44.4493832648072
OPPO,WHITE,6_GB,128_GB,4.3,16990,19990,3000,15.00750375187594
SAMSUNG,BLUE,4_GB,64_GB,4.0,13224,13899,675,4.856464493848478
GOOGLE_PIXEL,BLACK,4_GB,64_GB,4.5,44999,44999,0,0.0
SAMSUNG,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.3,2290,2290,0,0.0
OPPO,BLACK,6_GB,64_GB,4.3,22990,22990,0,0.0
ASUS,BLUE,6_GB,64_GB,4.3,17999,17999,0,0.0
APPLE,GOLD,2_GB,128_GB,4.5,34900,34900,0,0.0
SAMSUNG,BLUE,4_GB,128_GB,4.0,15999,22999,7000,30.436105917648597
SAMSUNG,BLACK,8_GB,128_GB,4.0,49999,65999,16000,24.24279155744784
SAMSUNG,BLUE,8_GB,128_GB,4.6,59900,59900,0,0.0
LENOVO,BLACK,3_GB,32_GB,4.2,9999,9999,0,0.0
XIAOMI,WHITE,4_GB,64_GB,4.3,16488,16999,511,3.006059179951762
SAMSUNG,BLACK,3_GB,32_GB,4.2,8780,8780,0,0.0
NOKIA,SILVER,3_GB,16_GB,4.1,7139,7139,0,0.0
APPLE,WHITE,4_GB,128_GB,4.6,54900,54900,0,0.0
XIAOMI,BLACK,6_GB,128_GB,4.3,21999,24999,3000,12.000480019200769
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.2,3740,3740,0,0.0
INFINIX,BLACK,4_GB,64_GB,4.4,11999,11999,0,0.0
SAMSUNG,BLACK,LESS_THAN_1GB,4_GB,3.9,4988,4988,0,0.0
OPPO,GREEN,6_GB,64_GB,4.5,16890,28990,12100,41.7385305277682
XIAOMI,BLACK,4_GB,64_GB,4.3,11990,12899,909,7.0470579114660055
OPPO,WHITE,1_GB,16_GB,3.8,8490,8490,0,0.0
APPLE,GREY,4_GB,64_GB,4.6,79999,106600,26601,24.954033771106943
ASUS,GOLD,2_GB,16_GB,3.9,15999,15999,0,0.0
OPPO,BLACK,8_GB,128_GB,4.4,18990,22990,4000,17.398869073510223
VIVO,BLACK,4_GB,64_GB,4.5,15990,15990,0,0.0
XIAOMI,BLUE,4_GB,64_GB,4.4,11499,13999,2500,17.85841845846132
SAMSUNG,BLACK,2_GB,32_GB,4.4,10000,10000,0,0.0
GIONEE,GREY,3_GB,32_GB,3.9,5950,5950,0,0.0
XIAOMI,BLUE,4_GB,64_GB,4.4,14999,14999,0,0.0
LG,BLUE,4_GB,64_GB,3.8,12950,12950,0,0.0
APPLE,SILVER,4_GB,64_GB,4.6,79999,106600,26601,24.954033771106943
OPPO,GOLD,8_GB,128_GB,4.3,21999,21999,0,0.0
REALME,WHITE,8_GB,256_GB,4.5,24999,24999,0,0.0
INFINIX,BLACK,8_GB,256_GB,4.2,16999,19999,3000,15.000750037501875
REALME,BLUE,8_GB,128_GB,4.5,20999,20999,0,0.0
